Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,10u,
C2,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,100n,
"C3, C4, C5, C6, C7, C8",C_Disc_D5.0mm_W2.5mm_P5.00mm,6,10n,
D1,D_A-405_P2.54mm_Vertical_KathodeUp,1,BZV55C5V1,
D2,D_A-405_P2.54mm_Vertical_KathodeUp,1,1N4148,
J1,PinSocket_1x02_P2.54mm_Vertical,1,12V,
J2,PinSocket_1x02_P2.54mm_Vertical,1,OUT,
K1,Relay_SPDT_Omron-G5LE-1,1,G5LE-1,
"NTC1, NTC2, NTC3, NTC4, NTC5, NTC6",PinSocket_1x02_P2.54mm_Vertical,6,10k,
Q1,TO-92_Inline,1,BC328,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,470,
"R10, R13, R16, R19, R22, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,6,120k,
"R11, R12, R14, R15, R17, R18, R2, R20, R21, R3, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,13,10k,
"R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,1k,
"U1, U2, U3, U4, U5, U6, U7, U8",TO-92_Inline,8,TL431LP,
